data_do_negocio,C/V,mercado,prazo,codigo,especificacao,quantidade,preco,valor_total
2020-02-17,C,Mercado a Vista,,BCFF11,FII BC FFII  CI  ER,4,97.28,389.12
2020-02-17,C,Mercado a Vista,,BCFF11,FII BC FFII  CI  ER,6,97.28,583.68
2020-02-27,C,Mercado a Vista,,BBPO11,FII BB PRGII CI,5,160.01,800.05
2020-03-02,C,Mercado a Vista,,BCFF11,FII BC FFII  CI,1,98.53,98.53
2020-03-02,C,Mercado a Vista,,HGLG11,FII CSHG LOG CI  ER,2,177.44,354.88
2020-03-03,C,Mercado a Vista,,BBPO11,FII BB PRGII CI  ER,5,160.5,802.5
2020-03-06,C,Mercado a Vista,,BCFF11,FII BC FFII  CI,2,99.29,198.58
2020-03-06,C,Merc. Fracionário,,ITSA4,ITAUSA       PN  ED  N1,43,11.52,495.36
2020-03-06,C,Merc. Fracionário,,ITSA4,ITAUSA       PN  ED  N1,3,11.52,34.56
2020-03-06,C,Merc. Fracionário,,ITSA4,ITAUSA       PN  ED  N1,38,11.52,437.76
2020-03-19,C,Mercado a Vista,,ITSA4,ITAUSA       PN      N1,100,8.46,846.0
2020-03-19,C,Merc. Fracionário,,ITSA4,ITAUSA       PN      N1,18,8.49,152.82
2020-03-19,C,Merc. Fracionário,,TRPL4,TRAN PAULIST PN      N1,46,17.19,790.74
2020-03-19,C,Mercado a Vista,,BBPO11,FII BB PRGII CI,7,115.91,811.37
2020-03-23,C,Mercado a Vista,,BCFF11,FII BC FFII  CI,14,68.0,952.0
2020-03-23,C,Mercado a Vista,,BCFF11,FII BC FFII  CI,3,63.97,191.91
2020-04-15,C,Merc. Fracionário,,ITSA4,ITAUSA       PN      N1,44,9.51,418.44
2020-04-15,C,Mercado a Vista,,BBPO11,FII BB PRGII CI,1,139.96,139.96
2020-05-11,C,Mercado a Vista,,ITSA4,ITAUSA       PN      N1,100,8.55,855.0
2020-05-11,C,Mercado a Vista,,TAEE4,TAESA        PN  ED  N2,100,8.92,892.0
2020-05-11,C,Merc. Fracionário,,TAEE4,TAESA        PN  ED  N2,2,8.9,17.8
2020-05-11,C,Merc. Fracionário,,TAEE4,TAESA        PN  ED  N2,12,8.9,106.8
2020-05-11,V,Merc. Fracionário,,TRPL4,TRAN PAULIST PN      N1,46,18.98,873.08
2020-05-13,C,Merc. Fracionário,,BBAS3,BRASIL       ON      NM,12,25.55,306.6
2020-05-26,C,Mercado a Vista,,BBAS3,BRASIL       ON      NM,100,30.56,3056.0
2020-06-04,C,Merc. Fracionário,,BBAS3,BRASIL       ON      NM,29,34.58,1002.82
2020-06-08,C,Merc. Fracionário,,BBAS3,BRASIL       ON      NM,10,36.7,367.0
2020-06-08,C,Merc. Fracionário,,BBAS3,BRASIL       ON      NM,1,36.7,36.7
2020-06-08,C,Merc. Fracionário,,BBAS3,BRASIL       ON      NM,71,36.7,2605.7
2020-06-08,C,Merc. Fracionário,,BBAS3,BRASIL       ON      NM,12,36.7,440.4
2020-06-08,C,Merc. Fracionário,,BBAS3,BRASIL       ON      NM,1,36.7,36.7
2020-06-08,C,Merc. Fracionário,,TAEE4,TAESA        PN      N2,65,9.73,632.45
2020-06-08,C,Merc. Fracionário,,TAEE4,TAESA        PN      N2,10,9.74,97.4
2020-06-18,C,Merc. Fracionário,,BBAS3,BRASIL ON NM,22,34.76,764.72
