data_pagamento,ativo,tipo,valor_por_cota,quantidade_de_cotas,total,mes_pagamento
2020-03-13,BBPO11,Rendimentos,1.256,5,6.28,2020-03
2020-03-13,BCFF11,Rendimentos,0.53,13,6.89,2020-03
2020-04-15,HGLG11,Rendimentos,0.78,2,1.56,2020-04
2020-04-15,BBPO11,Rendimentos,1.0576470588235294,17,17.98,2020-04
2020-04-15,BCFF11,Rendimentos,0.4,30,12.0,2020-04
2020-04-29,TRPL4,JCP,0.19391304347826085,46,8.92,2020-04
2020-05-15,HGLG11,Rendimentos,0.78,2,1.56,2020-05
2020-05-15,BBPO11,Rendimentos,1.0577777777777777,18,19.04,2020-05
2020-05-15,BCFF11,Rendimentos,0.4,30,12.0,2020-05
2020-05-28,TAEE4,Dividendos,0.17456140350877192,114,19.9,2020-05
2020-05-28,TAEE4,JCP,0.05035087719298247,114,5.74,2020-05
2020-06-12,HGLG11,Rendimentos,0.78,2,1.56,2020-06
2020-06-15,BBPO11,Rendimentos,1.0577777777777777,18,19.04,2020-06
2020-06-15,BCFF11,Rendimentos,0.4,30,12.0,2020-06
2020-07-01,ITSA4,Dividendos,0.02,346,6.92,2020-07
